STRING ID,DESCRIPTION,ENGLISH,LITHUANIAN/LIETUVIŠKAI,COMMENTARIES
pf_label_profilename,,Profile Name:,Profilio Vardas:,
pf_label_version,,Version:,Versija:,
pf_label_launchargs,Args = arguements. Please try to make it compact,Launch Args:,Paleisti Argumentus:,
pf_label_noedit,,"You can't edit the 'Latest' Profile!
Create a new profile!","Jūs negalite redaguoti Profilio 'Latest'!
Susikurkite naują profilį!",
pf_button_openprofiledir,,Open Directory,Atidaryti Žaidimo Aplanką,
pf_groupbox_modifications,,Modifications,Modifikacijos,
pf_button_cancel,,Cancel,Atšaukti,
pf_button_save,,Save,Išsaugoti,
;ReleaseDownloader Form;,,,,
rd_title,Window Title,Downloader,Parsiųntėjas,
rd_label_downloadprogress,,Download Progress:,Parsiųntimo Progresas:,
rd_label_extractionprogress,,Extraction Progress:,Ekstrakcijos Progresas:,
;PerFileUpdater Form;,,,,
pfu_title,,Updater,Atnaujintojas,
pfu_label_updateinfoprogress,,Update Info Download Progress:,Atnaujintos Informacijos Parsiųntimo Progresas,
pfu_label_comparisonprogress,,Comparison Progress:,Palyginimo Progresas:,
pfu_label_downloadprogress,,Download Progress:,Parsiųntimo Progresas:,
;MessageBox;,,,,
DLNotSelected,,Can't update! Select a DL first in Settings tab!,Negalima atnaujinti! Pirmiausia pasirinkite parsisiuntimo nuorodą nustatymuose!,
DLNotSelectedTitle,,Error!,Klaida!,
SomethingNotFoundError,,"Pokémon 3D requires {0}
Please visit {1} to download.
Would you like to open the webpage now?","Pokemonai 3D reikalauja {0}
Prašau apsilankyti {1}, kad tai parsisiųsti.
Ar norėtumėte atidaryti tinklalapį dabar?",
SomethingNotFoundErrorTitle,,Error!,Klaida!,
DownloadError,,Failed to download a file. Please try again!,Nepavyko parsiųsti failo. Prašome badyti dar kartą!,
DownloadErrorTitle,,Error!,Klaida!,
FileReplacementError,,There was an error while replacing the old files with the new ones!,Įvyko klaida keičiant senus failus į naujus!,
FileReplacementErrorTitle,,Error!,Klaida!,
LauncherUpdateAvailable,,"A new Launcher version is available!
Would you like to update?","Jau pasiekiama nauja Paleidėjo versija!
Ar norėtumėte atsinaujinti Paleidėją!",
LauncherUpdateAvailableTitle,,Update is Available!,Yra naujas atnaujinimas!,
NoInternet,,Could not connect to GitHub! Is Internet connection available?,Nepavyko prisijungti prie GitHub! Ar jūs prisijungęs prie interneto?,
NoInternetTitle,,Update Check Error!,Klaida naujinimo tikrinime!,
NotDownloaded,,"Profile '{0}' was not downloaded!
Would you like to download it?","Profilis '{0}' nebuvo parsiųstas!
Ar norėtumėte parsisiųsti jį?",
NotDownloadedTitle,,Not Downloaded!,Neparsiųstas!,
NoUpdateNeeded,,The Profile doesn't need an update!,Profilio nereikia atnaujinti!,
NoUpdateNeededTitle,,Done!,Atlikta!,
ProfileUpToDate,,Profile '{0}' is up to date!,Profilis '{0}' yra atnaujintas!,
ProfileUpToDateTitle,,Update Check,Atnaujinimo Patikrinimas,
ToolTipSaveCredentials,,"Enable ""Remember Me"" first!","Pirmiausia įjunkite ""Prisiminti mane"" funkciją!",
UpdateAvailable,,Would you like to download the [{0}] version to [{1}]?,Ar norėtumėte atnaujinti [{0}] versiją į [{1}]?,
UpdateAvailableTitle,,Update is Available!,Yra naujas atnaujinimas!,
Updated,,The Profile was successfully updated!,Profilis buvo sėkmingai atnaujintas!,
UpdateDisabled,,"Update is disabled! Please download the new version, don't use updating.",Atnaujinimas išjungtas! Prašome parsisiųsti naują versiją naujai.,
UpdateDisabledTitle,,Error!,Klaida!,
UpdatedTitle,,Success!,Sėkmingai!,
END,,,,
